source,target
6579,67577
19390,68288
8765,43305
51910,38542
30570,59098
53650,73635
15958,71762
26558,74334
7576,58519
48010,27861
26184,56509
34398,68879
18849,78196
20864,76225
767,63657
53776,41043
49530,64743
6783,66429
30124,72506
19506,2849
31470,60379
16477,28351
27949,42201
41878,61026
28664,54598
1239,62801
19524,73762
1561,70396
18383,70860
49621,67105
32155,70869
33465,65058
51921,65589
22299,67485
34344,62309
6803,75184
17689,63449
54317,57461
13598,61261
47965,60820
13936,62937
13491,8537
49720,14728
34731,70071
44614,63205
12736,66090
41263,67891
16607,51401
42124,34387
17905,72705
40564,63855
31221,29128
51196,77449
54016,65449
13260,63922
40822,58261
37196,64544
1341,62222
28452,27319
52700,34206
15322,41054
35398,7268
19397,3634
53228,66226
51022,28298
4561,73027
3695,73821
7500,73787
27859,9479
47549,57483
42571,31932
15448,49665
20924,55931
48192,69302
47235,65878
12238,71720
28755,74038
50916,71623
35472,9479
31279,22120
6943,50184
10815,21761
52861,49665
12846,38613
13011,17197
54416,46636
17555,49665
8341,10305
39207,17197
15047,17197
53867,38613
35616,10305
16161,14728
24470,8209
14331,17197
51763,10305
51999,17197
44859,6423
11878,63824
8742,72744
96,78390
50898,77388
11679,65715
23275,62405
29550,57834
14722,63732
31783,8111
34826,25320
21538,55910
47373,170
18344,28654
34322,48757
26066,38870
40569,17197
50122,56168
25002,69943
46820,66940
20000,36967
48972,43947
55621,63282
48966,75038
10610,31085
54299,70878
14291,43635
51340,70531
38410,61212
20240,50723
5900,75744
6326,70017
25582,75878
7351,61829
23648,64764
48333,40285
49285,48136
7506,66821
43057,60528
53642,66543
4722,67009
33645,64524
47568,20023
44786,64269
37706,74311
16852,9228
23120,76097
1391,72681
26449,63634
9740,4854
7226,14728
3823,74402
39605,70613
18698,43635
52354,38613
34345,8537
25901,8537
15270,49092
25155,14728
55897,17197
36665,35630
31832,21761
56006,40345
6659,49385
12908,700
7457,38870
11821,34165
29983,28298
50491,49665
53315,38870
28146,41054
44667,5956
6648,31568
4420,43427
35066,17197
8044,12610
41409,48757
3976,34165
20708,24916
34710,53229
3484,17197
46175,1765
54362,54213
22074,10364
23310,51401
38927,15392
21003,39830
52867,700
3205,6423
54308,14561
44365,15392
30685,56168
8593,43635
11751,40345
29314,54598
957,28298
18462,31568
54766,56168
32709,4854
32652,21520
18039,34387
47411,40345
34898,10364
41741,40285
13248,49092
49738,50576
29644,34165
11314,37616
2504,38870
30214,49385
18041,20023
36178,22954
49431,41043
18631,56168
56315,43427
54020,38870
49054,10364
41893,49092
16194,36967
13550,8537
32750,40285
21696,62780
15770,59755
25848,61889
3097,59572
40419,68338
30411,56800
4667,63717
37586,72513
25196,69354
7967,42057
33423,74871
15886,75227
31534,23575
52472,41043
11208,2748
43323,49309
49197,66610
35812,56938
29595,40285
45748,77404
27110,61318
20410,69100
52834,60427
3150,59378
1556,62063
53508,65628
499,72213
51636,59628
50476,61232
115,61111
23428,75980
53541,73355
34245,75965
12122,55780
32094,220
13125,60756
53453,63032
16730,63191
44696,66493
14247,70851
