node,degree,pagerank,clustering_coeff,tx_count,total_amount,avg_amount,max_amount,std_amount,tx_frequency
0,1,1.3e-05,0,1.0,7781.12,7781.12,7781.12,0.0,1.0
1,1,1.3e-05,0,1.0,144.56,144.56,144.56,0.0,1.0
2,1,8e-06,0,1.0,2655.04,2655.04,2655.04,0.0,1.0
3,1,8e-06,0,1.0,162472.67,162472.67,162472.67,0.0,1.0
4,1,8e-06,0,1.0,1361999.8,1361999.8,1361999.8,0.0,1.0
5,1,1.3e-05,0,1.0,2693.59,2693.59,2693.59,0.0,1.0
6,1,8e-06,0,1.0,170019.56,170019.56,170019.56,0.0,1.0
7,1,9e-06,0,1.0,236104.53,236104.53,236104.53,0.0,1.0
8,1,1.3e-05,0,1.0,1980.51,1980.51,1980.51,0.0,1.0
9,1,8e-06,0,1.0,27540.67,27540.67,27540.67,0.0,1.0
10,1,1.3e-05,0,1.0,14448.12,14448.12,14448.12,0.0,1.0
11,1,8e-06,0,1.0,31010.94,31010.94,31010.94,0.0,1.0
12,1,1.3e-05,0,1.0,12459.12,12459.12,12459.12,0.0,1.0
13,1,9e-06,0,1.0,40101.69,40101.69,40101.69,0.0,1.0
14,1,8e-06,0,1.0,67017.13,67017.13,67017.13,0.0,1.0
15,1,9e-06,0,1.0,58912.24,58912.24,58912.24,0.0,1.0
16,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
17,1,8e-06,0,1.0,66128.51,66128.51,66128.51,0.0,1.0
18,1,8e-06,0,1.0,6549.58,6549.58,6549.58,0.0,1.0
19,1,8e-06,0,1.0,1280020.98,1280020.98,1280020.98,0.0,1.0
20,1,1.3e-05,0,1.0,8428.75,8428.75,8428.75,0.0,1.0
21,1,1e-05,0,1.0,94352.21,94352.21,94352.21,0.0,1.0
22,1,1.3e-05,0,1.0,11426.9,11426.9,11426.9,0.0,1.0
23,1,8e-06,0,1.0,467777.83,467777.83,467777.83,0.0,1.0
24,1,1.3e-05,0,1.0,5145.82,5145.82,5145.82,0.0,1.0
25,1,1e-05,0,1.0,7029.7,7029.7,7029.7,0.0,1.0
26,1,8e-06,0,1.0,29575.35,29575.35,29575.35,0.0,1.0
27,1,1.3e-05,0,1.0,3412.76,3412.76,3412.76,0.0,1.0
28,1,8e-06,0,1.0,129615.45,129615.45,129615.45,0.0,1.0
29,1,8e-06,0,1.0,100790.27,100790.27,100790.27,0.0,1.0
30,1,8e-06,0,1.0,125964.25,125964.25,125964.25,0.0,1.0
31,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
32,1,1.3e-05,0,1.0,8050.57,8050.57,8050.57,0.0,1.0
33,1,8e-06,0,1.0,7632.98,7632.98,7632.98,0.0,1.0
34,1,1.3e-05,0,1.0,34325.5,34325.5,34325.5,0.0,1.0
35,1,9e-06,0,1.0,168393.3,168393.3,168393.3,0.0,1.0
36,1,1.3e-05,0,1.0,25862.88,25862.88,25862.88,0.0,1.0
37,10,5.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
38,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
39,1,8e-06,0,1.0,312651.06,312651.06,312651.06,0.0,1.0
40,1,8e-06,0,1.0,30917.88,30917.88,30917.88,0.0,1.0
41,1,1.3e-05,0,1.0,2230.59,2230.59,2230.59,0.0,1.0
42,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
43,1,8e-06,0,1.0,153922.26,153922.26,153922.26,0.0,1.0
44,1,1.3e-05,0,1.0,7115.1,7115.1,7115.1,0.0,1.0
45,1,8e-06,0,1.0,220881.33,220881.33,220881.33,0.0,1.0
46,1,9e-06,0,1.0,412097.45,412097.45,412097.45,0.0,1.0
47,1,8e-06,0,1.0,217572.36,217572.36,217572.36,0.0,1.0
48,1,9e-06,0,1.0,1250225.15,1250225.15,1250225.15,0.0,1.0
49,1,8e-06,0,1.0,32352.1,32352.1,32352.1,0.0,1.0
50,3,2.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,1.3e-05,0,1.0,12927.04,12927.04,12927.04,0.0,1.0
52,1,1.3e-05,0,1.0,7860.26,7860.26,7860.26,0.0,1.0
53,1,1.3e-05,0,1.0,5159.03,5159.03,5159.03,0.0,1.0
54,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
55,1,1.3e-05,0,1.0,331987.42,331987.42,331987.42,0.0,1.0
56,1,1.3e-05,0,1.0,80241.42,80241.42,80241.42,0.0,1.0
57,1,1.3e-05,0,1.0,19253.2,19253.2,19253.2,0.0,1.0
58,1,1.3e-05,0,1.0,10618.12,10618.12,10618.12,0.0,1.0
59,1,1.3e-05,0,1.0,7350.01,7350.01,7350.01,0.0,1.0
60,1,8e-06,0,1.0,1667482.25,1667482.25,1667482.25,0.0,1.0
61,1,1.3e-05,0,1.0,3660.93,3660.93,3660.93,0.0,1.0
62,4,2.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
63,1,9e-06,0,1.0,594464.64,594464.64,594464.64,0.0,1.0
64,1,1.3e-05,0,1.0,2444.49,2444.49,2444.49,0.0,1.0
65,1,1.3e-05,0,1.0,3672.08,3672.08,3672.08,0.0,1.0
66,1,1.3e-05,0,1.0,22102.51,22102.51,22102.51,0.0,1.0
67,1,8e-06,0,1.0,157829.33,157829.33,157829.33,0.0,1.0
68,1,8e-06,0,1.0,101289.27,101289.27,101289.27,0.0,1.0
69,1,8e-06,0,1.0,54926.82,54926.82,54926.82,0.0,1.0
70,1,1.3e-05,0,1.0,8360.96,8360.96,8360.96,0.0,1.0
71,1,9e-06,0,1.0,159426.06,159426.06,159426.06,0.0,1.0
72,1,1e-05,0,1.0,37104.8,37104.8,37104.8,0.0,1.0
73,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
74,1,9e-06,0,1.0,156078.8,156078.8,156078.8,0.0,1.0
75,1,1.3e-05,0,1.0,23123.11,23123.11,23123.11,0.0,1.0
76,1,9e-06,0,1.0,169406.37,169406.37,169406.37,0.0,1.0
77,1,1.3e-05,0,1.0,9884.66,9884.66,9884.66,0.0,1.0
78,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
79,1,8e-06,0,1.0,750270.52,750270.52,750270.52,0.0,1.0
80,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
81,1,9e-06,0,1.0,230057.56,230057.56,230057.56,0.0,1.0
82,1,9e-06,0,1.0,414694.05,414694.05,414694.05,0.0,1.0
83,1,1.3e-05,0,1.0,1720.31,1720.31,1720.31,0.0,1.0
84,1,1.3e-05,0,1.0,5074.43,5074.43,5074.43,0.0,1.0
85,1,1.3e-05,0,1.0,13695.02,13695.02,13695.02,0.0,1.0
86,1,9e-06,0,1.0,413009.92,413009.92,413009.92,0.0,1.0
87,1,8e-06,0,1.0,160503.37,160503.37,160503.37,0.0,1.0
88,1,1.3e-05,0,1.0,3426.43,3426.43,3426.43,0.0,1.0
89,1,1.3e-05,0,1.0,6064.7,6064.7,6064.7,0.0,1.0
90,1,1.3e-05,0,1.0,1246.74,1246.74,1246.74,0.0,1.0
91,1,8e-06,0,1.0,1556.49,1556.49,1556.49,0.0,1.0
92,1,8e-06,0,1.0,28239.27,28239.27,28239.27,0.0,1.0
93,1,1.3e-05,0,1.0,11772.66,11772.66,11772.66,0.0,1.0
94,1,1.3e-05,0,1.0,16891.65,16891.65,16891.65,0.0,1.0
95,1,8e-06,0,1.0,121220.2,121220.2,121220.2,0.0,1.0
96,1,1.3e-05,0,1.0,871.75,871.75,871.75,0.0,1.0
97,1,8e-06,0,1.0,247352.57,247352.57,247352.57,0.0,1.0
98,1,8e-06,0,1.0,1336715.58,1336715.58,1336715.58,0.0,1.0
99,3,2.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
100,1,1.3e-05,0,1.0,21393.85,21393.85,21393.85,0.0,1.0
101,1,1.3e-05,0,1.0,264.93,264.93,264.93,0.0,1.0
102,1,8e-06,0,1.0,6744.26,6744.26,6744.26,0.0,1.0
103,1,1.3e-05,0,1.0,14948.06,14948.06,14948.06,0.0,1.0
104,1,1.3e-05,0,1.0,6712.08,6712.08,6712.08,0.0,1.0
105,1,9e-06,0,1.0,456487.25,456487.25,456487.25,0.0,1.0
106,1,9e-06,0,1.0,37654.59,37654.59,37654.59,0.0,1.0
107,1,8e-06,0,1.0,116496.0,116496.0,116496.0,0.0,1.0
108,1,1.3e-05,0,1.0,8770.72,8770.72,8770.72,0.0,1.0
109,1,9e-06,0,1.0,344320.72,344320.72,344320.72,0.0,1.0
110,1,1.3e-05,0,1.0,11738.52,11738.52,11738.52,0.0,1.0
111,1,1.3e-05,0,1.0,14104.21,14104.21,14104.21,0.0,1.0
112,1,8e-06,0,1.0,132382.57,132382.57,132382.57,0.0,1.0
113,1,1.3e-05,0,1.0,8366.56,8366.56,8366.56,0.0,1.0
114,1,1.3e-05,0,1.0,10673.24,10673.24,10673.24,0.0,1.0
115,1,1.3e-05,0,1.0,9029.12,9029.12,9029.12,0.0,1.0
116,9,5.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
117,1,9e-06,0,1.0,162637.89,162637.89,162637.89,0.0,1.0
118,1,1.3e-05,0,1.0,4191.05,4191.05,4191.05,0.0,1.0
119,1,1.3e-05,0,1.0,11878.52,11878.52,11878.52,0.0,1.0
120,1,8e-06,0,1.0,305292.19,305292.19,305292.19,0.0,1.0
121,1,1.3e-05,0,1.0,18123.09,18123.09,18123.09,0.0,1.0
122,1,1.3e-05,0,1.0,23288.89,23288.89,23288.89,0.0,1.0
123,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
124,1,8e-06,0,1.0,334101.54,334101.54,334101.54,0.0,1.0
125,1,8e-06,0,1.0,1131741.28,1131741.28,1131741.28,0.0,1.0
126,4,2.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
127,1,1.3e-05,0,1.0,7989.26,7989.26,7989.26,0.0,1.0
128,1,1.3e-05,0,1.0,16929.29,16929.29,16929.29,0.0,1.0
129,1,8e-06,0,1.0,45656.63,45656.63,45656.63,0.0,1.0
130,1,1.3e-05,0,1.0,18109.95,18109.95,18109.95,0.0,1.0
131,1,8e-06,0,1.0,20722.36,20722.36,20722.36,0.0,1.0
132,1,9e-06,0,1.0,25975.86,25975.86,25975.86,0.0,1.0
133,1,8e-06,0,1.0,1004789.66,1004789.66,1004789.66,0.0,1.0
134,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,1.3e-05,0,1.0,199261.3,199261.3,199261.3,0.0,1.0
136,1,1.3e-05,0,1.0,1617.9,1617.9,1617.9,0.0,1.0
137,1,8e-06,0,1.0,59390.46,59390.46,59390.46,0.0,1.0
138,1,8e-06,0,1.0,269866.63,269866.63,269866.63,0.0,1.0
139,1,8e-06,0,1.0,345284.72,345284.72,345284.72,0.0,1.0
140,1,1.3e-05,0,1.0,11168.84,11168.84,11168.84,0.0,1.0
141,1,1.3e-05,0,1.0,23087.79,23087.79,23087.79,0.0,1.0
142,6,3.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,1.3e-05,0,1.0,18432.04,18432.04,18432.04,0.0,1.0
144,1,1.3e-05,0,1.0,5341.97,5341.97,5341.97,0.0,1.0
145,1,8e-06,0,1.0,524198.58,524198.58,524198.58,0.0,1.0
146,1,8e-06,0,1.0,733478.62,733478.62,733478.62,0.0,1.0
147,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
148,1,1.3e-05,0,1.0,295377.69,295377.69,295377.69,0.0,1.0
149,1,9e-06,0,1.0,345545.28,345545.28,345545.28,0.0,1.0
150,1,8e-06,0,1.0,42489.53,42489.53,42489.53,0.0,1.0
151,1,8e-06,0,1.0,2166.22,2166.22,2166.22,0.0,1.0
152,1,9e-06,0,1.0,173083.44,173083.44,173083.44,0.0,1.0
153,1,1.3e-05,0,1.0,4464.44,4464.44,4464.44,0.0,1.0
154,1,1.3e-05,0,1.0,6029.47,6029.47,6029.47,0.0,1.0
155,1,9e-06,0,1.0,238928.64,238928.64,238928.64,0.0,1.0
156,1,1.3e-05,0,1.0,5167.91,5167.91,5167.91,0.0,1.0
157,1,9e-06,0,1.0,168608.26,168608.26,168608.26,0.0,1.0
158,1,9e-06,0,1.0,48225.36,48225.36,48225.36,0.0,1.0
159,1,1.3e-05,0,1.0,9434.0,9434.0,9434.0,0.0,1.0
160,1,1.3e-05,0,1.0,4743.81,4743.81,4743.81,0.0,1.0
161,1,8e-06,0,1.0,262865.87,262865.87,262865.87,0.0,1.0
162,1,9e-06,0,1.0,1025383.05,1025383.05,1025383.05,0.0,1.0
163,1,1.3e-05,0,1.0,12661.84,12661.84,12661.84,0.0,1.0
164,1,1.3e-05,0,1.0,6998.25,6998.25,6998.25,0.0,1.0
165,1,1.3e-05,0,1.0,21217.44,21217.44,21217.44,0.0,1.0
166,1,1.3e-05,0,1.0,2582.98,2582.98,2582.98,0.0,1.0
167,1,1.3e-05,0,1.0,17940.98,17940.98,17940.98,0.0,1.0
168,1,1.3e-05,0,1.0,29470.32,29470.32,29470.32,0.0,1.0
169,1,9e-06,0,1.0,32815.61,32815.61,32815.61,0.0,1.0
170,4,2.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
171,1,1.3e-05,0,1.0,112322.19,112322.19,112322.19,0.0,1.0
172,1,1.3e-05,0,1.0,6469.74,6469.74,6469.74,0.0,1.0
173,1,1.3e-05,0,1.0,9555.63,9555.63,9555.63,0.0,1.0
174,1,8e-06,0,1.0,929543.53,929543.53,929543.53,0.0,1.0
175,3,2.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
176,3,2.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
177,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
178,1,1.3e-05,0,1.0,3805.94,3805.94,3805.94,0.0,1.0
179,1,8e-06,0,1.0,45249.33,45249.33,45249.33,0.0,1.0
180,1,1.3e-05,0,1.0,14591.02,14591.02,14591.02,0.0,1.0
181,1,8e-06,0,1.0,134103.27,134103.27,134103.27,0.0,1.0
182,1,1.3e-05,0,1.0,1207.27,1207.27,1207.27,0.0,1.0
183,4,2.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
184,5,3.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
185,1,1e-05,0,1.0,143723.49,143723.49,143723.49,0.0,1.0
186,1,8e-06,0,1.0,176031.7,176031.7,176031.7,0.0,1.0
187,1,1.3e-05,0,1.0,13429.38,13429.38,13429.38,0.0,1.0
188,1,1.3e-05,0,1.0,1783.39,1783.39,1783.39,0.0,1.0
189,1,1.3e-05,0,1.0,5862.71,5862.71,5862.71,0.0,1.0
190,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
191,1,1.3e-05,0,1.0,225.83,225.83,225.83,0.0,1.0
192,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
193,1,8e-06,0,1.0,344106.28,344106.28,344106.28,0.0,1.0
194,1,8e-06,0,1.0,9011.17,9011.17,9011.17,0.0,1.0
195,1,1.3e-05,0,1.0,5573.67,5573.67,5573.67,0.0,1.0
196,1,1.3e-05,0,1.0,35027.29,35027.29,35027.29,0.0,1.0
197,1,1.3e-05,0,1.0,5967.2,5967.2,5967.2,0.0,1.0
198,1,1.3e-05,0,1.0,9930.55,9930.55,9930.55,0.0,1.0
199,1,9e-06,0,1.0,824095.73,824095.73,824095.73,0.0,1.0
200,1,1.3e-05,0,1.0,9463.64,9463.64,9463.64,0.0,1.0
201,1,1.3e-05,0,1.0,1213.64,1213.64,1213.64,0.0,1.0
202,1,8e-06,0,1.0,356438.29,356438.29,356438.29,0.0,1.0
203,1,9e-06,0,1.0,27997.86,27997.86,27997.86,0.0,1.0
204,1,8e-06,0,1.0,175046.2,175046.2,175046.2,0.0,1.0
205,1,8e-06,0,1.0,81367.16,81367.16,81367.16,0.0,1.0
206,1,1.3e-05,0,1.0,4866.64,4866.64,4866.64,0.0,1.0
207,1,8e-06,0,1.0,140612.03,140612.03,140612.03,0.0,1.0
208,1,1.3e-05,0,1.0,8522.73,8522.73,8522.73,0.0,1.0
209,1,8e-06,0,1.0,91630.44,91630.44,91630.44,0.0,1.0
210,1,1e-05,0,1.0,140022.66,140022.66,140022.66,0.0,1.0
211,1,8e-06,0,1.0,98022.39,98022.39,98022.39,0.0,1.0
212,1,8e-06,0,1.0,92539.91,92539.91,92539.91,0.0,1.0
213,1,8e-06,0,1.0,377287.8,377287.8,377287.8,0.0,1.0
214,1,1.3e-05,0,1.0,12333.76,12333.76,12333.76,0.0,1.0
215,1,9e-06,0,1.0,2288.44,2288.44,2288.44,0.0,1.0
216,1,8e-06,0,1.0,332002.01,332002.01,332002.01,0.0,1.0
217,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
218,1,9e-06,0,1.0,171618.61,171618.61,171618.61,0.0,1.0
219,1,1.3e-05,0,1.0,28529.94,28529.94,28529.94,0.0,1.0
220,1,1.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
221,1,1.3e-05,0,1.0,3212.49,3212.49,3212.49,0.0,1.0
222,1,1.3e-05,0,1.0,15602.95,15602.95,15602.95,0.0,1.0
223,3,2.3e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
224,1,1.3e-05,0,1.0,5983.51,5983.51,5983.51,0.0,1.0
225,1,1.3e-05,0,1.0,17739.0,17739.0,17739.0,0.0,1.0
226,1,1.3e-05,0,1.0,11975.27,11975.27,11975.27,0.0,1.0
227,4,2.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
228,1,1.3e-05,0,1.0,16925.36,16925.36,16925.36,0.0,1.0
229,1,8e-06,0,1.0,490747.67,490747.67,490747.67,0.0,1.0
230,1,1.3e-05,0,1.0,1560.63,1560.63,1560.63,0.0,1.0
231,1,1.3e-05,0,1.0,146132.72,146132.72,146132.72,0.0,1.0
232,1,1.3e-05,0,1.0,553.25,553.25,553.25,0.0,1.0
233,1,9e-06,0,1.0,148161.76,148161.76,148161.76,0.0,1.0
234,1,1.3e-05,0,1.0,3938.65,3938.65,3938.65,0.0,1.0
235,1,8e-06,0,1.0,501630.91,501630.91,501630.91,0.0,1.0
236,6,3.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
237,1,1.3e-05,0,1.0,9218.21,9218.21,9218.21,0.0,1.0
238,1,1e-05,0,1.0,198042.55,198042.55,198042.55,0.0,1.0
239,2,1.8e-05,0,0.0,0.0,0.0,0.0,0.0,0.0
