original_id,numeric_id
C1000039823,0
C1000119377,1
C10001825,2
C100022590,3
C1000231597,4
C1000291765,5
C1000292364,6
C1000303171,7
C100033245,8
C1000411454,9
C1000432352,10
C1000434667,11
C1000487648,12
C1000505510,13
C1000600589,14
C1000607784,15
C1000630508,16
C1000631767,17
C1000701211,18
C1000719581,19
C1000725845,20
C1000734187,21
C1000735423,22
C1000740725,23
C1000791292,24
C1000843295,25
C1000848098,26
C1000892717,27
C1000901490,28
C1000997134,29
C1001070092,30
C1001094043,31
C1001218001,32
C1001231507,33
C1001283448,34
C1001304973,35
C1001354542,36
C1001367899,37
C1001409363,38
C1001433436,39
C100151969,40
C1001547790,41
C1001582807,42
C1001669794,43
C1001672364,44
C1001674053,45
C100168689,46
C1001696739,47
C1001704228,48
C1001714072,49
C1001755781,50
C1001764000,51
C1001830827,52
C1001873892,53
C1001882344,54
C1001914464,55
C1001938630,56
C1001950969,57
C1001960677,58
C100196201,59
C1002004721,60
C1002028755,61
C1002031672,62
C1002032413,63
C1002041276,64
C1002118757,65
C1002149393,66
C1002165221,67
C1002216592,68
C1002240678,69
C1002292420,70
C100229370,71
C1002322082,72
C1002335651,73
C1002348639,74
C1002355975,75
C1002398876,76
C100240177,77
C1002407179,78
C1002417864,79
C1002469873,80
C1002521609,81
C1002533149,82
C1002577897,83
C1002715827,84
C1002740473,85
C1002750213,86
C1002781680,87
C1002849760,88
C1002872041,89
C1002911155,90
C1003000306,91
C1003059913,92
C1003082917,93
C1003190953,94
C1003205881,95
C1003206025,96
C100322407,97
C1003240711,98
C100325477,99
C1003281814,100
C1003307628,101
C1003366618,102
C1003414759,103
C1003468964,104
C1003482102,105
C1003484185,106
C1003598110,107
C1003603952,108
C1003621812,109
C1003638922,110
C1003650521,111
C1003663195,112
C1003690485,113
C1003744418,114
C1003755748,115
C1003872245,116
C1003911496,117
C1003920709,118
C1003990875,119
C1004011295,120
C1004013291,121
C1004028633,122
C1004044328,123
C1004056775,124
C1004086035,125
C1004116292,126
C1004125658,127
C1004157109,128
C1004229504,129
C1004264842,130
C1004270885,131
C1004271827,132
C1004289701,133
C1004330633,134
C1004380133,135
C1004430079,136
C100445376,137
C1004645690,138
C1004655737,139
C1004728150,140
C1004751341,141
C1004780164,142
C1004826012,143
C1004931143,144
C1004932344,145
C1004939913,146
C1004962268,147
C1004992733,148
C1005047988,149
C1005059958,150
C1005063886,151
C1005077585,152
C100508342,153
C1005133472,154
C1005209486,155
C1005229794,156
C1005241602,157
C1005246901,158
C1005249293,159
C1005251365,160
C1005338603,161
C1005338989,162
C1005411900,163
C1005445961,164
C1005497741,165
C1005500273,166
C1005507271,167
C1005532847,168
C1005545775,169
C100555887,170
C100556250,171
C1005591041,172
C1005651415,173
C1005707360,174
C1005736508,175
C1005747091,176
C1005755165,177
C1005782739,178
C1005791203,179
C1005809424,180
C1005891608,181
C1005914030,182
C1005928818,183
C1005941472,184
C1005958485,185
C1005966070,186
C1006000245,187
C1006033934,188
C1006063510,189
C1006094903,190
C100620455,191
C1006214893,192
C1006297128,193
C1006387312,194
C100639713,195
C1006413680,196
C1006435246,197
C1006519517,198
C1006523518,199
C1006546317,200
C1006624255,201
C1006654205,202
C1006662258,203
C1006750298,204
C1006778810,205
C1006850984,206
C1006852128,207
C1006859289,208
C1006922911,209
