node,tx_count,total_amount,avg_amount,max_amount,std_amount,tx_frequency
C1000039823,1,7781.12,7781.12,7781.12,0.0,1.0
C1000119377,1,144.56,144.56,144.56,0.0,1.0
C10001825,1,2655.04,2655.04,2655.04,0.0,1.0
C100022590,1,162472.67,162472.67,162472.67,0.0,1.0
C1000231597,1,1361999.8,1361999.8,1361999.8,0.0,1.0
C1000291765,1,2693.59,2693.59,2693.59,0.0,1.0
C1000292364,1,170019.56,170019.56,170019.56,0.0,1.0
C1000303171,1,236104.53,236104.53,236104.53,0.0,1.0
C100033245,1,1980.51,1980.51,1980.51,0.0,1.0
C1000411454,1,27540.67,27540.67,27540.67,0.0,1.0
C1000432352,1,14448.12,14448.12,14448.12,0.0,1.0
C1000434667,1,31010.94,31010.94,31010.94,0.0,1.0
C1000487648,1,12459.12,12459.12,12459.12,0.0,1.0
C1000505510,1,40101.69,40101.69,40101.69,0.0,1.0
C1000600589,1,67017.13,67017.13,67017.13,0.0,1.0
C1000607784,1,58912.24,58912.24,58912.24,0.0,1.0
C1000631767,1,66128.51,66128.51,66128.51,0.0,1.0
C1000701211,1,6549.58,6549.58,6549.58,0.0,1.0
C1000719581,1,1280020.98,1280020.98,1280020.98,0.0,1.0
C1000725845,1,8428.75,8428.75,8428.75,0.0,1.0
C1000734187,1,94352.21,94352.21,94352.21,0.0,1.0
C1000735423,1,11426.9,11426.9,11426.9,0.0,1.0
C1000740725,1,467777.83,467777.83,467777.83,0.0,1.0
C1000791292,1,5145.82,5145.82,5145.82,0.0,1.0
C1000843295,1,7029.7,7029.7,7029.7,0.0,1.0
C1000848098,1,29575.35,29575.35,29575.35,0.0,1.0
C1000892717,1,3412.76,3412.76,3412.76,0.0,1.0
C1000901490,1,129615.45,129615.45,129615.45,0.0,1.0
C1000997134,1,100790.27,100790.27,100790.27,0.0,1.0
C1001070092,1,125964.25,125964.25,125964.25,0.0,1.0
C1001218001,1,8050.57,8050.57,8050.57,0.0,1.0
C1001231507,1,7632.98,7632.98,7632.98,0.0,1.0
C1001283448,1,34325.5,34325.5,34325.5,0.0,1.0
C1001304973,1,168393.3,168393.3,168393.3,0.0,1.0
C1001354542,1,25862.88,25862.88,25862.88,0.0,1.0
C1001433436,1,312651.06,312651.06,312651.06,0.0,1.0
C100151969,1,30917.88,30917.88,30917.88,0.0,1.0
C1001547790,1,2230.59,2230.59,2230.59,0.0,1.0
C1001669794,1,153922.26,153922.26,153922.26,0.0,1.0
C1001672364,1,7115.1,7115.1,7115.1,0.0,1.0
C1001674053,1,220881.33,220881.33,220881.33,0.0,1.0
C100168689,1,412097.45,412097.45,412097.45,0.0,1.0
C1001696739,1,217572.36,217572.36,217572.36,0.0,1.0
C1001704228,1,1250225.15,1250225.15,1250225.15,0.0,1.0
C1001714072,1,32352.1,32352.1,32352.1,0.0,1.0
C1001764000,1,12927.04,12927.04,12927.04,0.0,1.0
C1001830827,1,7860.26,7860.26,7860.26,0.0,1.0
C1001873892,1,5159.03,5159.03,5159.03,0.0,1.0
C1001914464,1,331987.42,331987.42,331987.42,0.0,1.0
C1001938630,1,80241.42,80241.42,80241.42,0.0,1.0
C1001950969,1,19253.2,19253.2,19253.2,0.0,1.0
C1001960677,1,10618.12,10618.12,10618.12,0.0,1.0
C100196201,1,7350.01,7350.01,7350.01,0.0,1.0
C1002004721,1,1667482.25,1667482.25,1667482.25,0.0,1.0
C1002028755,1,3660.93,3660.93,3660.93,0.0,1.0
C1002032413,1,594464.64,594464.64,594464.64,0.0,1.0
C1002041276,1,2444.49,2444.49,2444.49,0.0,1.0
C1002118757,1,3672.08,3672.08,3672.08,0.0,1.0
C1002149393,1,22102.51,22102.51,22102.51,0.0,1.0
C1002165221,1,157829.33,157829.33,157829.33,0.0,1.0
C1002216592,1,101289.27,101289.27,101289.27,0.0,1.0
C1002240678,1,54926.82,54926.82,54926.82,0.0,1.0
C1002292420,1,8360.96,8360.96,8360.96,0.0,1.0
C100229370,1,159426.06,159426.06,159426.06,0.0,1.0
C1002322082,1,37104.8,37104.8,37104.8,0.0,1.0
C1002348639,1,156078.8,156078.8,156078.8,0.0,1.0
C1002355975,1,23123.11,23123.11,23123.11,0.0,1.0
C1002398876,1,169406.37,169406.37,169406.37,0.0,1.0
C100240177,1,9884.66,9884.66,9884.66,0.0,1.0
C1002417864,1,750270.52,750270.52,750270.52,0.0,1.0
C1002521609,1,230057.56,230057.56,230057.56,0.0,1.0
C1002533149,1,414694.05,414694.05,414694.05,0.0,1.0
C1002577897,1,1720.31,1720.31,1720.31,0.0,1.0
C1002715827,1,5074.43,5074.43,5074.43,0.0,1.0
C1002740473,1,13695.02,13695.02,13695.02,0.0,1.0
C1002750213,1,413009.92,413009.92,413009.92,0.0,1.0
C1002781680,1,160503.37,160503.37,160503.37,0.0,1.0
C1002849760,1,3426.43,3426.43,3426.43,0.0,1.0
C1002872041,1,6064.7,6064.7,6064.7,0.0,1.0
C1002911155,1,1246.74,1246.74,1246.74,0.0,1.0
C1003000306,1,1556.49,1556.49,1556.49,0.0,1.0
C1003059913,1,28239.27,28239.27,28239.27,0.0,1.0
C1003082917,1,11772.66,11772.66,11772.66,0.0,1.0
C1003190953,1,16891.65,16891.65,16891.65,0.0,1.0
C1003205881,1,121220.2,121220.2,121220.2,0.0,1.0
C1003206025,1,871.75,871.75,871.75,0.0,1.0
C100322407,1,247352.57,247352.57,247352.57,0.0,1.0
C1003240711,1,1336715.58,1336715.58,1336715.58,0.0,1.0
C1003281814,1,21393.85,21393.85,21393.85,0.0,1.0
C1003307628,1,264.93,264.93,264.93,0.0,1.0
C1003366618,1,6744.26,6744.26,6744.26,0.0,1.0
C1003414759,1,14948.06,14948.06,14948.06,0.0,1.0
C1003468964,1,6712.08,6712.08,6712.08,0.0,1.0
C1003482102,1,456487.25,456487.25,456487.25,0.0,1.0
C1003484185,1,37654.59,37654.59,37654.59,0.0,1.0
C1003598110,1,116496.0,116496.0,116496.0,0.0,1.0
C1003603952,1,8770.72,8770.72,8770.72,0.0,1.0
C1003621812,1,344320.72,344320.72,344320.72,0.0,1.0
C1003638922,1,11738.52,11738.52,11738.52,0.0,1.0
C1003650521,1,14104.21,14104.21,14104.21,0.0,1.0
C1003663195,1,132382.57,132382.57,132382.57,0.0,1.0
C1003690485,1,8366.56,8366.56,8366.56,0.0,1.0
C1003744418,1,10673.24,10673.24,10673.24,0.0,1.0
C1003755748,1,9029.12,9029.12,9029.12,0.0,1.0
C1003911496,1,162637.89,162637.89,162637.89,0.0,1.0
C1003920709,1,4191.05,4191.05,4191.05,0.0,1.0
C1003990875,1,11878.52,11878.52,11878.52,0.0,1.0
C1004011295,1,305292.19,305292.19,305292.19,0.0,1.0
C1004013291,1,18123.09,18123.09,18123.09,0.0,1.0
C1004028633,1,23288.89,23288.89,23288.89,0.0,1.0
C1004056775,1,334101.54,334101.54,334101.54,0.0,1.0
C1004086035,1,1131741.28,1131741.28,1131741.28,0.0,1.0
C1004125658,1,7989.26,7989.26,7989.26,0.0,1.0
C1004157109,1,16929.29,16929.29,16929.29,0.0,1.0
C1004229504,1,45656.63,45656.63,45656.63,0.0,1.0
C1004264842,1,18109.95,18109.95,18109.95,0.0,1.0
C1004270885,1,20722.36,20722.36,20722.36,0.0,1.0
C1004271827,1,25975.86,25975.86,25975.86,0.0,1.0
C1004289701,1,1004789.66,1004789.66,1004789.66,0.0,1.0
C1004380133,1,199261.3,199261.3,199261.3,0.0,1.0
C1004430079,1,1617.9,1617.9,1617.9,0.0,1.0
C100445376,1,59390.46,59390.46,59390.46,0.0,1.0
C1004645690,1,269866.63,269866.63,269866.63,0.0,1.0
C1004655737,1,345284.72,345284.72,345284.72,0.0,1.0
C1004728150,1,11168.84,11168.84,11168.84,0.0,1.0
C1004751341,1,23087.79,23087.79,23087.79,0.0,1.0
C1004826012,1,18432.04,18432.04,18432.04,0.0,1.0
C1004931143,1,5341.97,5341.97,5341.97,0.0,1.0
C1004932344,1,524198.58,524198.58,524198.58,0.0,1.0
C1004939913,1,733478.62,733478.62,733478.62,0.0,1.0
C1004992733,1,295377.69,295377.69,295377.69,0.0,1.0
C1005047988,1,345545.28,345545.28,345545.28,0.0,1.0
C1005059958,1,42489.53,42489.53,42489.53,0.0,1.0
C1005063886,1,2166.22,2166.22,2166.22,0.0,1.0
C1005077585,1,173083.44,173083.44,173083.44,0.0,1.0
C100508342,1,4464.44,4464.44,4464.44,0.0,1.0
C1005133472,1,6029.47,6029.47,6029.47,0.0,1.0
C1005209486,1,238928.64,238928.64,238928.64,0.0,1.0
C1005229794,1,5167.91,5167.91,5167.91,0.0,1.0
C1005241602,1,168608.26,168608.26,168608.26,0.0,1.0
C1005246901,1,48225.36,48225.36,48225.36,0.0,1.0
C1005249293,1,9434.0,9434.0,9434.0,0.0,1.0
C1005251365,1,4743.81,4743.81,4743.81,0.0,1.0
C1005338603,1,262865.87,262865.87,262865.87,0.0,1.0
C1005338989,1,1025383.05,1025383.05,1025383.05,0.0,1.0
C1005411900,1,12661.84,12661.84,12661.84,0.0,1.0
C1005445961,1,6998.25,6998.25,6998.25,0.0,1.0
C1005497741,1,21217.44,21217.44,21217.44,0.0,1.0
C1005500273,1,2582.98,2582.98,2582.98,0.0,1.0
C1005507271,1,17940.98,17940.98,17940.98,0.0,1.0
C1005532847,1,29470.32,29470.32,29470.32,0.0,1.0
C1005545775,1,32815.61,32815.61,32815.61,0.0,1.0
C100556250,1,112322.19,112322.19,112322.19,0.0,1.0
